Susp Circ 911,10750
Traffic Law Abandoned,10712
Traffic Law Vehicle,9805
Alarm,7298
Special Service,5391
Subject Stop,4475
Welfare Check,3280
Dist Others,3030
Suspicious Circumstances,1829
Suspicious Vehicle,1786
Burglary,1682
Petty Theft,1624
Acc No Injury,1585
SPCA Case,1524
Dist Noise,1449
Dist Domestic,1420
Police Mutual Aid,1294
Civil Case,1232
Private Property Tow,1203
Suspicious Person,1128
Citizen Assist,1112
Vehicle Stored,1058
Fire Assist,1035
Acc No Injury HR,985
Property Incident,808
Dist Family,797
Malicious Mischief,755
DISABLED VEH,755
Narcotics,742
Fireworks,739
Repossessed Vehicle,720
Muni Code Violation,706
Juvenile Case,665
Vehicle Stolen,634
Attempt To Contact,632
Fraud,559
Disorderly Conduct,535
Dist Party,494
Acc Minor Injury,391
Trespassing,390
Assault,370
Dist Juveniles,346
Hazardous Condition,343
Dist Neighbors,324
Court Order Violation,265
Vehicle Recovered,264
Man Down,262
DUI,259
Disturbance Verbal,258
Public Order Violation,248
Disturbance,247
Grand Theft,247
Missing Juvenile,233
Threat Case,208
Dist Fight,202
Missing Adult,200
Wanted Person,190
Coroners Case,185
Missing Person Located,165
Damaged Property,147
Mental Case,129
Court Order Received,113
Robbery,109
Loitering Complaint,95
Annoying Telephone Call,76
Injured Person,74
Acc No Detail,68
Property - Attempt to Locate,66
ID Theft,59
Assault w/ Deadly Weapon,58
Court Order Served,58
Pacifica Public Works Call,55
Dist Construction Noise,50
Acc Injury HR,49
Pole Light Out,49
Sex Crime Rape,42
Accident Major Injury,37
Tactical Alert,37
Alcohol Violation,33
LOJACK Activation,28
School Check,27
Dist Peace Words,26
Sex Exposure,26
Muni Code Violation - RV,25
Robbery Strong Arm,25
Caltrans Service Request,22
Suspicious Activity,19
Amber Alert,18
Arson,17
Counterfeit Bill,14
Poss Coroners Case,13
Suicide Attempt,12
Suicide,7
Sex Crime Molest,7
Assault and Battery,4
Kidnapping,4
Bonfire,3
Traffic Control,3
Homicide,2
Colma Traffic Enforcement,2
Prowler,2
Forgery,1
Be On The Lookout,1
Labor Management Dispute,1
SSF Public Works Call,1
Traffic Stop,1
Open Door,1
